Rang,Etablissement,Commune,Note,Filière,Texte
11,Lycée de Toulouse-Auzeville,Castanet-Tolosan,"14,7",BCPST,"Cet établissement public a présenté 35 candidats en BCPST en 2023. Leur moyenne au bac est estimée à 17,8 sur 20.

Nombre d'intégrés dans les meilleures écoles :
	- AgroParisTech : 1
	- Ensat : 1
	- Institut Agro Montpellier : 5
	- Institut Agro Rennes-Angers : 2
	- Oniris : 1
	- VetAgro Sup : 2
	- ENV Toulouse : 10"
12,Le Fresne,Angers,"14,3",BCPST,"Cet établissement public a présenté 26 candidats en BCPST en 2023. Leur moyenne au bac est estimée à 16,6 sur 20.

Nombre d'intégrés dans les meilleures écoles :
	- ENS Ulm : 1
	- AgroParisTech : 2
	- Bordeaux Sciences Agro : 2
	- Ensat : 2
	- Institut Agro Dijon : 1
	- Institut Agro Montpellier : 1
	- Institut Agro Rennes-Angers : 6
	- Oniris : 2
	- VetAgro Sup : 1"
13,Jean Rostand,Strasbourg,"14,1",BCPST,"Cet établissement public a présenté 31 candidats en BCPST en 2023. Leur moyenne au bac est estimée à 17,8 sur 20.

Nombre d'intégrés dans les meilleures écoles :
	- CentraleSupélec : 1
	- AgroParisTech : 2
	- Bordeaux Sciences Agro : 2
	- Ensaia : 5
	- Ensat : 1
	- Institut Agro Dijon : 2
	- Institut Agro Montpellier : 1
	- Institut Agro Rennes-Angers : 2
	- Oniris : 2
	- VetAgro Sup : 2
	- ENV Alfort : 1"
14,Carnot,Dijon,"13,8",BCPST,"Cet établissement public a présenté 44 candidats en BCPST en 2023. Leur moyenne au bac est estimée à 16,6 sur 20.

Nombre d'intégrés dans les meilleures écoles :
	- ENS de Lyon : 1
	- Phelma : 1
	- AgroParisTech : 3
	- Bordeaux Sciences Agro : 1
	- Ensaia : 9
	- Institut Agro Dijon : 3
	- Institut Agro Montpellier : 1
	- Institut Agro Rennes-Angers : 2
	- Oniris : 1
	- VetAgro Sup : 3
	- ENV Alfort : 1
	- ENV Toulouse : 1"
14,Pierre Corneille,Rouen,"13,8",BCPST,"Cet établissement public a présenté 45 candidats en BCPST en 2023. Leur moyenne au bac est estimée à 17,3 sur 20.

Nombre d'intégrés dans les meilleures écoles :
	- AgroParisTech : 6
	- Bordeaux Sciences Agro : 3
	- Institut Agro Dijon : 2
	- Institut Agro Montpellier : 2
	- Institut Agro Rennes-Angers : 2
	- Oniris : 4
	- VetAgro Sup : 2
	- ENV Alfort : 2"
16,Joffre,Montpellier,"13,7",BCPST,"Cet établissement public a présenté 42 candidats en BCPST en 2023. Leur moyenne au bac est estimée à 16,8 sur 20.

Nombre d'intégrés dans les meilleures écoles :
	- ENS de Lyon : 3
	- ENS Paris-Saclay : 1
	- AgroParisTech : 6
	- Bordeaux Sciences Agro : 2
	- Ensat : 3
	- Institut Agro Montpellier : 6
	- Institut Agro Rennes-Angers : 2
	- VetAgro Sup : 1"
16,Lakanal,Sceaux,"13,7",BCPST,"Cet établissement public a présenté 78 candidats en BCPST en 2023. Leur moyenne au bac est estimée à 15,8 sur 20.

Nombre d'intégrés dans les meilleures écoles :
	- ENS Ulm : 1
	- ENS de Lyon : 2
	- ENS Paris-Saclay : 1
	- CentraleSupélec : 2
	- AgroParisTech : 9
	- Bordeaux Sciences Agro : 1
	- Ensaia : 9
	- Institut Agro Montpellier : 5
	- Institut Agro Rennes-Angers : 7
	- Oniris : 4
	- VetAgro Sup : 1
	- ENV Alfort : 1
	- ENV Toulouse : 1"
18,Fénelon,Paris 6e,"13,6",BCPST,"Cet établissement public a présenté 31 candidats en BCPST en 2023. Leur moyenne au bac est estimée à 15,9 sur 20.

Nombre d'intégrés dans les meilleures écoles :
	- ENS Paris-Saclay : 1
	- ESPCI : 1
	- AgroParisTech : 2
	- Bordeaux Sciences Agro : 1
	- Ensat : 5
	- Institut Agro Montpellier : 1
	- Institut Agro Rennes-Angers : 4
	- VetAgro Sup : 1
	- ENV Alfort : 1
	- ENV Toulouse : 1"
19,Pierre-Gilles de Gennes,Paris 13e,"13,5",BCPST,"Cet établissement public a présenté 27 candidats en BCPST en 2023. Leur moyenne au bac est estimée à 14,2 sur 20.

Nombre d'intégrés dans les meilleures écoles :
	- AgroParisTech : 5
	- Bordeaux Sciences Agro : 2
	- Ensat : 2
	- Institut Agro Dijon : 1
	- Institut Agro Montpellier : 1
	- Institut Agro Rennes-Angers : 2
	- VetAgro Sup : 1
	- ENV Toulouse : 1"
20,Malherbe,Caen,"13,4",BCPST,"Cet établissement public a présenté 69 candidats en BCPST en 2023. Leur moyenne au bac est estimée à 16 sur 20.

Nombre d'intégrés dans les meilleures écoles :
	- AgroParisTech : 6
	- Bordeaux Sciences Agro : 2
	- Ensaia : 5
	- Institut Agro Dijon : 4
	- Institut Agro Rennes-Angers : 11
	- Oniris : 5
	- ENV Alfort : 4"
21,Clemenceau,Nantes,"13,1",BCPST,"Cet établissement public a présenté 84 candidats en BCPST en 2023. Leur moyenne au bac est estimée à 16,9 sur 20.

Nombre d'intégrés dans les meilleures écoles :
	- ENS Ulm : 1
	- CentraleSupélec : 1
	- AgroParisTech : 2
	- Bordeaux Sciences Agro : 7
	- Ensat : 1
	- Institut Agro Dijon : 4
	- Institut Agro Montpellier : 3
	- Institut Agro Rennes-Angers : 12
	- Oniris : 10
	- VetAgro Sup : 2
	- ENV Alfort : 1"
21,Georges Clemenceau,Reims,"13,1",BCPST,"Cet établissement public a présenté 36 candidats en BCPST en 2023. Leur moyenne au bac est estimée à 15,9 sur 20.

Nombre d'intégrés dans les meilleures écoles :
	- AgroParisTech : 2
	- Ensaia : 3
	- Ensat : 1
	- Institut Agro Dijon : 3
	- Institut Agro Montpellier : 1
	- Institut Agro Rennes-Angers : 2
	- VetAgro Sup : 3
	- ENV Alfort : 2
	- ENV Toulouse : 1"
23,Faidherbe,Lille,13,BCPST,"Cet établissement public a présenté 65 candidats en BCPST en 2023. Leur moyenne au bac est estimée à 17,2 sur 20.

Nombre d'intégrés dans les meilleures écoles :
	- ENS de Lyon : 1
	- Phelma : 1
	- AgroParisTech : 2
	- Ensaia : 4
	- Ensat : 3
	- Institut Agro Dijon : 2
	- Institut Agro Montpellier : 1
	- Institut Agro Rennes-Angers : 7
	- Oniris : 4
	- VetAgro Sup : 2
	- ENV Alfort : 1
	- ENV Toulouse : 3"
23,Masséna,Nice,13,BCPST,"Cet établissement public a présenté 30 candidats en BCPST en 2023. Leur moyenne au bac est estimée à 17,1 sur 20.

Nombre d'intégrés dans les meilleures écoles :
	- Mines Paris : 1
	- AgroParisTech : 2
	- Bordeaux Sciences Agro : 1
	- Ensaia : 1
	- Ensat : 2
	- Institut Agro Dijon : 2
	- Institut Agro Montpellier : 3
	- Institut Agro Rennes-Angers : 1
	- ENV Toulouse : 2"
25,Chateaubriand,Rennes,"12,9",BCPST,"Cet établissement public a présenté 106 candidats en BCPST en 2023. Leur moyenne au bac est estimée à 16,2 sur 20.

Nombre d'intégrés dans les meilleures écoles :
	- ENS de Lyon : 2
	- ENS Paris-Saclay : 1
	- AgroParisTech : 8
	- Bordeaux Sciences Agro : 1
	- Ensaia : 2
	- Ensat : 5
	- Institut Agro Montpellier : 1
	- Institut Agro Rennes-Angers : 16
	- Oniris : 11
	- VetAgro Sup : 3"
25,Ozenne,Toulouse,"12,9",BCPST,"Cet établissement public a présenté 45 candidats en BCPST en 2023. Leur moyenne au bac est estimée à 16,6 sur 20.

Nombre d'intégrés dans les meilleures écoles :
	- ENS de Lyon : 1
	- AgroParisTech : 1
	- Bordeaux Sciences Agro : 2
	- Ensaia : 1
	- Ensat : 3
	- Institut Agro Montpellier : 2
	- Institut Agro Rennes-Angers : 2
	- Oniris : 1
	- VetAgro Sup : 1
	- ENV Toulouse : 6"
27,Claude Fauriel,Saint-Etienne,"12,8",BCPST,"Cet établissement public a présenté 37 candidats en BCPST en 2023. Leur moyenne au bac est estimée à 16 sur 20.

Nombre d'intégrés dans les meilleures écoles :
	- AgroParisTech : 3
	- Bordeaux Sciences Agro : 2
	- Ensaia : 1
	- Ensat : 2
	- Institut Agro Montpellier : 1
	- Institut Agro Rennes-Angers : 3
	- Oniris : 2
	- VetAgro Sup : 3
	- ENV Toulouse : 1"
27,Descartes,Tours,"12,8",BCPST,"Cet établissement public a présenté 43 candidats en BCPST en 2023. Leur moyenne au bac est estimée à 16,6 sur 20.

Nombre d'intégrés dans les meilleures écoles :
	- AgroParisTech : 3
	- Ensaia : 2
	- Institut Agro Montpellier : 1
	- Institut Agro Rennes-Angers : 3
	- Oniris : 1
	- VetAgro Sup : 5
	- ENV Toulouse : 2"
27,Thiers,Marseille 1er,"12,8",BCPST,"Cet établissement public a présenté 92 candidats en BCPST en 2023. Leur moyenne au bac est estimée à 15,7 sur 20.

Nombre d'intégrés dans les meilleures écoles :
	- ENS Ulm : 1
	- AgroParisTech : 4
	- Bordeaux Sciences Agro : 2
	- Ensaia : 2
	- Ensat : 9
	- Institut Agro Dijon : 2
	- Institut Agro Montpellier : 12
	- VetAgro Sup : 4
	- ENV Alfort : 1
	- ENV Toulouse : 5"
30,Albert Châtelet,Douai,"12,7",BCPST,"Cet établissement public a présenté 34 candidats en BCPST en 2023. Leur moyenne au bac est estimée à 17,2 sur 20.

Nombre d'intégrés dans les meilleures écoles :
	- ENS de Lyon : 1
	- Chimie ParisTech : 1
	- Ensaia : 4
	- Institut Agro Dijon : 3
	- Institut Agro Rennes-Angers : 3
	- Oniris : 4
	- VetAgro Sup : 1"
30,Henri Poincaré,Nancy,"12,7",BCPST,"Cet établissement public a présenté 74 candidats en BCPST en 2023. Leur moyenne au bac est estimée à 16,3 sur 20.

Nombre d'intégrés dans les meilleures écoles :
	- CentraleSupélec : 1
	- AgroParisTech : 5
	- Bordeaux Sciences Agro : 1
	- Ensaia : 7
	- Ensat : 2
	- Institut Agro Dijon : 9
	- Institut Agro Montpellier : 2
	- Institut Agro Rennes-Angers : 1
	- Oniris : 3
	- VetAgro Sup : 3"
30,Marcelin Berthelot,Saint-Maur-des-Fossés,"12,7",BCPST,"Cet établissement public a présenté 103 candidats en BCPST en 2023. Leur moyenne au bac est estimée à 15,2 sur 20.

Nombre d'intégrés dans les meilleures écoles :
	- CentraleSupélec : 1
	- ESPCI : 1
	- AgroParisTech : 7
	- Bordeaux Sciences Agro : 1
	- Ensaia : 4
	- Ensat : 1
	- Institut Agro Dijon : 2
	- Institut Agro Montpellier : 2
	- Institut Agro Rennes-Angers : 7
	- Oniris : 5
	- ENV Alfort : 8
	- ENV Toulouse : 1"
30,Montaigne,Bordeaux,"12,7",BCPST,"Cet établissement public a présenté 81 candidats en BCPST en 2023. Leur moyenne au bac est estimée à 16,3 sur 20.

Nombre d'intégrés dans les meilleures écoles :
	- AgroParisTech : 4
	- Bordeaux Sciences Agro : 5
	- Ensaia : 2
	- Ensat : 2
	- Institut Agro Dijon : 1
	- Institut Agro Montpellier : 1
	- Institut Agro Rennes-Angers : 6
	- Oniris : 5
	- ENV Alfort : 1
	- ENV Toulouse : 7"
34,Victor Hugo,Besançon,"12,5",BCPST,"Cet établissement public a présenté 37 candidats en BCPST en 2023. Leur moyenne au bac est estimée à 15,9 sur 20.

Nombre d'intégrés dans les meilleures écoles :
	- ENS de Lyon : 2
	- AgroParisTech : 1
	- Bordeaux Sciences Agro : 1
	- Ensaia : 3
	- Institut Agro Dijon : 2
	- Institut Agro Montpellier : 1
	- Institut Agro Rennes-Angers : 3
	- VetAgro Sup : 2
	- ENV Alfort : 1"
35,François 1er,Fontainebleau,"12,4",BCPST,"Cet établissement public a présenté 28 candidats en BCPST en 2023. Leur moyenne au bac est estimée à 15,5 sur 20.

Nombre d'intégrés dans les meilleures écoles :
	- Phelma : 1
	- AgroParisTech : 1
	- Ensat : 1
	- Institut Agro Montpellier : 1
	- Institut Agro Rennes-Angers : 4
	- ENV Toulouse : 3"
35,Jacques Prévert,Boulogne-Billancourt,"12,4",BCPST,"Cet établissement public a présenté 34 candidats en BCPST en 2023. Leur moyenne au bac est estimée à 14,7 sur 20.

Nombre d'intégrés dans les meilleures écoles :
	- AgroParisTech : 1
	- Bordeaux Sciences Agro : 3
	- Ensaia : 1
	- Institut Agro Montpellier : 1
	- Institut Agro Rennes-Angers : 1
	- Oniris : 4
	- VetAgro Sup : 1
	- ENV Alfort : 2"
37,Assomption Bellevue,La Mulatière,"12,3",BCPST,"Cet établissement privé a présenté 39 candidats en BCPST en 2023. Leur moyenne au bac est estimée à 15,7 sur 20.

Nombre d'intégrés dans les meilleures écoles :
	- AgroParisTech : 2
	- Ensat : 2
	- Institut Agro Dijon : 3
	- Institut Agro Montpellier : 2
	- Institut Agro Rennes-Angers : 3
	- Oniris : 1
	- VetAgro Sup : 3"
37,Georges de la Tour,Metz,"12,3",BCPST,"Cet établissement public a présenté 38 candidats en BCPST en 2023. Leur moyenne au bac est estimée à 14,9 sur 20.

Nombre d'intégrés dans les meilleures écoles :
	- AgroParisTech : 3
	- Ensaia : 1
	- Institut Agro Dijon : 6
	- Oniris : 2
	- VetAgro Sup : 1
	- ENV Toulouse : 1"
39,Blaise Pascal,Clermont-Ferrand,"12,2",BCPST,"Cet établissement public a présenté 35 candidats en BCPST en 2023. Leur moyenne au bac est estimée à 15 sur 20.

Nombre d'intégrés dans les meilleures écoles :
	- ENS de Lyon : 1
	- AgroParisTech : 2
	- Bordeaux Sciences Agro : 3
	- Ensaia : 1
	- Institut Agro Montpellier : 4
	- Institut Agro Rennes-Angers : 1
	- Oniris : 1
	- VetAgro Sup : 2"
39,Chaptal,Paris 8e,"12,2",BCPST,"Cet établissement public a présenté 80 candidats en BCPST en 2023. Leur moyenne au bac est estimée à 15,4 sur 20.

Nombre d'intégrés dans les meilleures écoles :
	- AgroParisTech : 6
	- Bordeaux Sciences Agro : 5
	- Ensaia : 4
	- Ensat : 1
	- Institut Agro Dijon : 2
	- Institut Agro Montpellier : 4
	- Institut Agro Rennes-Angers : 7
	- Oniris : 2
	- ENV Toulouse : 1"
39,Louis Barthou,Pau,"12,2",BCPST,"Cet établissement public a présenté 35 candidats en BCPST en 2023. Leur moyenne au bac est estimée à 15,5 sur 20.

Nombre d'intégrés dans les meilleures écoles :
	- AgroParisTech : 1
	- Bordeaux Sciences Agro : 2
	- Ensaia : 2
	- Ensat : 2
	- Institut Agro Montpellier : 2
	- Institut Agro Rennes-Angers : 1
	- Oniris : 3
	- ENV Toulouse : 2"
39,Léonard Limosin,Limoges,"12,2",BCPST,"Cet établissement public a présenté 31 candidats en BCPST en 2023. Leur moyenne au bac est estimée à 15,5 sur 20.

Nombre d'intégrés dans les meilleures écoles :
	- ENS Ulm : 1
	- ENS de Lyon : 1
	- AgroParisTech : 1
	- Bordeaux Sciences Agro : 3
	- Ensat : 3
	- Oniris : 1"
43,Pothier,Orléans,12,BCPST,"Cet établissement public a présenté 26 candidats en BCPST en 2023. Leur moyenne au bac est estimée à 15,4 sur 20.

Nombre d'intégrés dans les meilleures écoles :
	- Bordeaux Sciences Agro : 2
	- Ensaia : 3
	- Ensat : 1
	- Institut Agro Dijon : 1
	- Institut Agro Montpellier : 1
	- Institut Agro Rennes-Angers : 2
	- ENV Alfort : 1"
44,La Martinière Monplaisir,Lyon 8e,"11,9",BCPST,"Cet établissement public a présenté 38 candidats en BCPST en 2023. Leur moyenne au bac est estimée à 16,2 sur 20.

Nombre d'intégrés dans les meilleures écoles :
	- AgroParisTech : 1
	- Institut Agro Dijon : 2
	- Institut Agro Rennes-Angers : 1
	- Oniris : 1
	- VetAgro Sup : 3
	- ENV Toulouse : 1"
44,Roland Garros,Le Tampon,"11,9",BCPST,"Cet établissement public a présenté 36 candidats en BCPST en 2023. Leur moyenne au bac est estimée à 16,4 sur 20.

Nombre d'intégrés dans les meilleures écoles :
	- ENS Ulm : 1
	- CentraleSupélec : 2
	- Ensaia : 1
	- Ensat : 2
	- Institut Agro Dijon : 2
	- Institut Agro Rennes-Angers : 1
	- ENV Alfort : 1"
46,Le Chesnoy,Amilly,"11,7",BCPST,"Cet établissement public a présenté 31 candidats en BCPST en 2023. Leur moyenne au bac est estimée à 14,9 sur 20.

Nombre d'intégrés dans les meilleures écoles :
	- Institut Agro Dijon : 6
	- Institut Agro Rennes-Angers : 3
	- VetAgro Sup : 4"
46,Louis Thuillier,Amiens,"11,7",BCPST,"Cet établissement public a présenté 97 candidats en BCPST en 2023. Leur moyenne au bac est estimée à 14,8 sur 20.

Nombre d'intégrés dans les meilleures écoles :
	- AgroParisTech : 2
	- Bordeaux Sciences Agro : 8
	- Ensat : 1
	- Institut Agro Dijon : 8
	- Institut Agro Rennes-Angers : 8
	- Oniris : 3
	- VetAgro Sup : 2
	- ENV Alfort : 1
	- ENV Toulouse : 1"
48,Albert Schweitzer,Le Raincy,"11,6",BCPST,"Cet établissement public a présenté 22 candidats en BCPST en 2023. Leur moyenne au bac est estimée à 13,8 sur 20.

Nombre d'intégrés dans les meilleures écoles :
	- Bordeaux Sciences Agro : 1
	- Ensaia : 3
	- Institut Agro Montpellier : 1
	- Oniris : 2"
48,Camille Guérin,Poitiers,"11,6",BCPST,"Cet établissement public a présenté 76 candidats en BCPST en 2023. Leur moyenne au bac est estimée à 14,9 sur 20.

Nombre d'intégrés dans les meilleures écoles :
	- Bordeaux Sciences Agro : 3
	- Ensaia : 1
	- Ensat : 6
	- Institut Agro Dijon : 1
	- Institut Agro Montpellier : 4
	- Institut Agro Rennes-Angers : 4
	- Oniris : 4
	- VetAgro Sup : 5"
50,Robespierre,Arras,"11,5",BCPST,"Cet établissement public a présenté 33 candidats en BCPST en 2023. Leur moyenne au bac est estimée à 15,5 sur 20.

Nombre d'intégrés dans les meilleures écoles :
	- Bordeaux Sciences Agro : 2
	- Ensaia : 1
	- Institut Agro Rennes-Angers : 3
	- VetAgro Sup : 1
	- ENV Alfort : 1
	- ENV Toulouse : 1"
51,Emmanuel d'Alzon,Nîmes,"10,9",BCPST,"Cet établissement privé a présenté 35 candidats en BCPST en 2023. Leur moyenne au bac est estimée à 14,6 sur 20.

Nombre d'intégrés dans les meilleures écoles :
	- CentraleSupélec : 1
	- AgroParisTech : 1
	- Institut Agro Montpellier : 1
	- Institut Agro Rennes-Angers : 1
	- VetAgro Sup : 1"
52,Chavagnes,Nantes,"10,4",BCPST,"Cet établissement privé a présenté 37 candidats en BCPST en 2023. Leur moyenne au bac est estimée à 14,2 sur 20.

Nombre d'intégrés dans les meilleures écoles :
	- Bordeaux Sciences Agro : 1
	- Ensaia : 1
	- Institut Agro Rennes-Angers : 1
	- VetAgro Sup : 1"
53,Baimbridge,Les Abymes,"10,2",BCPST,"Cet établissement public a présenté 26 candidats en BCPST en 2023. Leur moyenne au bac est estimée à 14,8 sur 20.

Nombre d'intégrés dans les meilleures écoles :
	- Ensat : 1"
53,Paulette Nardal,Ducos,"10,2",BCPST,"Cet établissement public a présenté 20 candidats en BCPST en 2023. Leur moyenne au bac est estimée à 15 sur 20.

Nombre d'intégrés dans les meilleures écoles :
	- Ensat : 1"
1,Sainte-Geneviève,Versailles,20,ECG,"Cet établissement privé a présenté 86 candidats en ECG en 2023. Leur moyenne au bac est estimée à 18,2 sur 20.

Nombre d'intégrés dans les meilleures écoles :
	- HEC : 43
	- Essec : 19
	- ESCP : 7
	- Edhec : 6
	- EM Lyon : 2
	- Skema : 2
	- Neoma : 1
	- Ensae : 1"
2,Madeleine Daniélou,Rueil-Malmaison,"19,7",ECG,"Cet établissement privé a présenté 42 candidats en ECG en 2023. Leur moyenne au bac est estimée à 17,6 sur 20.

Nombre d'intégrés dans les meilleures écoles :
	- HEC : 21
	- Essec : 5
	- ESCP : 4
	- Edhec : 4
	- EM Lyon : 3
	- Skema : 3"
3,Louis Le Grand,Paris 5e,"19,6",ECG,"Cet établissement public a présenté 45 candidats en ECG en 2023. Leur moyenne au bac est estimée à 17,7 sur 20.

Nombre d'intégrés dans les meilleures écoles :
	- HEC : 20
	- Essec : 9
	- ESCP : 5
	- EM Lyon : 7
	- Skema : 1
	- Neoma : 1"
4,Notre-Dame du Grandchamp,Versailles,"19,4",ECG,"Cet établissement privé a présenté 121 candidats en ECG en 2023. Leur moyenne au bac est estimée à 16,8 sur 20.

Nombre d'intégrés dans les meilleures écoles :
	- HEC : 45
	- Essec : 26
	- ESCP : 17
	- Edhec : 10
	- EM Lyon : 9
	- Skema : 6
	- Audencia : 2
	- Neoma : 1
	- Kedge : 1"
5,Henri IV,Paris 5e,"19,2",ECG,"Cet établissement public a présenté 84 candidats en ECG en 2023. Leur moyenne au bac est estimée à 18,1 sur 20.

Nombre d'intégrés dans les meilleures écoles :
	- HEC : 27
	- Essec : 18
	- ESCP : 14
	- Edhec : 7
	- EM Lyon : 13
	- Skema : 1"
6,Stanislas,Paris 6e,19,ECG,"Cet établissement privé a présenté 80 candidats en ECG en 2023. Leur moyenne au bac est estimée à 16,8 sur 20.

Nombre d'intégrés dans les meilleures écoles :
	- HEC : 22
	- Essec : 20
	- ESCP : 12
	- Edhec : 12
	- EM Lyon : 4
	- Skema : 3
	- Neoma : 1
	- Rennes SB : 1
	- Ensae : 1"
7,Sainte-Marie,Lyon 5e,"18,9",ECG,"Cet établissement privé a présenté 64 candidats en ECG en 2023. Leur moyenne au bac est estimée à 17,5 sur 20.

Nombre d'intégrés dans les meilleures écoles :
	- HEC : 17
	- Essec : 17
	- ESCP : 7
	- Edhec : 7
	- EM Lyon : 11
	- Skema : 1
	- Audencia : 1"
8,Saint-Louis de Gonzague,Paris 16e,"17,7",ECG,"Cet établissement privé a présenté 77 candidats en ECG en 2023. Leur moyenne au bac est estimée à 17,1 sur 20.

Nombre d'intégrés dans les meilleures écoles :
	- HEC : 17
	- Essec : 9
	- ESCP : 12
	- Edhec : 10
	- EM Lyon : 6
	- Skema : 12
	- Audencia : 2
	- Kedge : 2
	- ESM Saint-Cyr : 1"
