Rang,Etablissement,Commune,Note,Filière,Texte
37,Ozenne,Toulouse,"14,4",ECG,"{'HEC': 2, 'Essec': 4, 'ESCP': 2, 'Edhec': 8, 'EM Lyon': 4, 'Skema': 6, 'Audencia': 6, 'Neoma': 13, 'Grenoble EM': 4, 'Kedge': 11, 'TBS Education': 4, 'Rennes SB': 3, 'Montpellier BS': 1, 'EM Normandie': 1, 'Ensae': 1, 'ESM Saint-Cyr': 1}"
37,Saint-Vincent Providence,Rennes,"14,4",ECG,"{'HEC': 2, 'Essec': 2, 'ESCP': 3, 'Edhec': 4, 'EM Lyon': 13, 'Skema': 4, 'Audencia': 22, 'Neoma': 8, 'Grenoble EM': 9, 'Kedge': 5, 'TBS Education': 1, 'Rennes SB': 1}"
39,Montaigne,Bordeaux,"14,3",ECG,"{'HEC': 3, 'Essec': 4, 'ESCP': 6, 'Edhec': 12, 'EM Lyon': 9, 'Skema': 10, 'Audencia': 17, 'Neoma': 16, 'Grenoble EM': 6, 'Kedge': 18, 'TBS Education': 12}"
40,Intégrale,Paris 8e,"14,1",ECG,"{'HEC': 4, 'Essec': 8, 'ESCP': 11, 'Edhec': 12, 'EM Lyon': 14, 'Skema': 19, 'Audencia': 10, 'Neoma': 13, 'Grenoble EM': 4, 'Kedge': 4, 'Rennes SB': 1, 'ICN': 1}"
40,Kléber,Strasbourg,"14,1",ECG,"{'Essec': 5, 'ESCP': 5, 'Edhec': 7, 'EM Lyon': 7, 'Skema': 12, 'Audencia': 13, 'Neoma': 23, 'Grenoble EM': 10, 'Kedge': 19, 'TBS Education': 1, 'Rennes SB': 1, 'Ensae': 1}"
42,Claude Bernard,Paris 16e,"13,9",ECG,"{'HEC': 2, 'Essec': 1, 'ESCP': 1, 'Edhec': 2, 'EM Lyon': 1, 'Skema': 4, 'Audencia': 1, 'Neoma': 4, 'Grenoble EM': 5, 'Kedge': 1, 'TBS Education': 2, 'Rennes SB': 2, 'Montpellier BS': 1}"
42,Clemenceau,Nantes,"13,9",ECG,"{'ESCP': 1, 'EM Lyon': 2, 'Skema': 8, 'Audencia': 10, 'Neoma': 9, 'Grenoble EM': 4, 'Kedge': 2, 'TBS Education': 2, 'Rennes SB': 1, 'Burgundy SB': 1}"
42,La Bruyère,Versailles,"13,9",ECG,"{'Essec': 2, 'ESCP': 1, 'Edhec': 4, 'EM Lyon': 6, 'Skema': 2, 'Audencia': 4, 'Neoma': 4, 'Grenoble EM': 2, 'Kedge': 2, 'ICN': 1}"
42,Lycée international de Valbonne,Sophia Antipolis,"13,9",ECG,"{'ESCP': 1, 'Edhec': 2, 'EM Lyon': 2, 'Skema': 5, 'Audencia': 2, 'Neoma': 5, 'Grenoble EM': 1, 'Kedge': 2, 'TBS Education': 1, 'IMT BS': 1}"
46,Blaise Pascal,Clermont-Ferrand,"13,7",ECG,"{'Essec': 1, 'ESCP': 3, 'Edhec': 1, 'EM Lyon': 3, 'Audencia': 7, 'Neoma': 15, 'Grenoble EM': 8, 'Kedge': 8, 'TBS Education': 3, 'Montpellier BS': 1}"
46,Masséna,Nice,"13,7",ECG,"{'HEC': 1, 'Essec': 1, 'ESCP': 2, 'Edhec': 6, 'EM Lyon': 8, 'Skema': 8, 'Audencia': 13, 'Neoma': 2, 'Grenoble EM': 6, 'Kedge': 5, 'TBS Education': 2, 'Rennes SB': 2, 'Montpellier BS': 2}"
46,Thiers,Marseille 1er,"13,7",ECG,"{'Essec': 1, 'ESCP': 3, 'Edhec': 2, 'EM Lyon': 1, 'Skema': 7, 'Audencia': 2, 'Neoma': 5, 'Grenoble EM': 9, 'Kedge': 9, 'Montpellier BS': 2}"
49,Carnot,Paris 17e,"13,6",ECG,"{'HEC': 2, 'Essec': 3, 'ESCP': 7, 'Edhec': 17, 'EM Lyon': 13, 'Skema': 12, 'Audencia': 13, 'Neoma': 16, 'Grenoble EM': 12, 'Kedge': 15, 'TBS Education': 4, 'Rennes SB': 5, 'IMT BS': 1, 'ICN': 4, 'EM Strasbourg': 1, 'ENS Paris-Saclay': 1}"
50,Claude Fauriel,Saint-Etienne,"13,4",ECG,"{'Edhec': 4, 'EM Lyon': 1, 'Skema': 4, 'Audencia': 2, 'Neoma': 13, 'Grenoble EM': 9, 'Kedge': 4, 'TBS Education': 2, 'Burgundy SB': 1}"
50,Gabriel Touchard - Washington,Le Mans,"13,4",ECG,"{'Edhec': 2, 'EM Lyon': 1, 'Audencia': 4, 'Neoma': 3, 'Grenoble EM': 2, 'Kedge': 1, 'TBS Education': 1, 'Rennes SB': 4}"
50,Notre-Dame de la Merci,Montpellier,"13,4",ECG,"{'Edhec': 2, 'EM Lyon': 2, 'Skema': 1, 'Audencia': 2, 'Neoma': 1, 'Grenoble EM': 5, 'Kedge': 3, 'TBS Education': 2, 'Montpellier BS': 1}"
53,Berthollet,Annecy,"13,3",ECG,"{'HEC': 1, 'Essec': 1, 'ESCP': 1, 'Edhec': 5, 'EM Lyon': 4, 'Skema': 7, 'Audencia': 2, 'Neoma': 6, 'Grenoble EM': 8, 'Kedge': 8, 'TBS Education': 4, 'Rennes SB': 1, 'Montpellier BS': 3, 'ICN': 1}"
53,Claude Monet,Paris 13e,"13,3",ECG,"{'Edhec': 2, 'EM Lyon': 7, 'Skema': 5, 'Audencia': 3, 'Neoma': 4, 'Grenoble EM': 6, 'Kedge': 4, 'Rennes SB': 1, 'ICN': 2, 'Inseec': 2}"
53,Gustave Flaubert,Rouen,"13,3",ECG,"{'EM Lyon': 1, 'Skema': 1, 'Audencia': 9, 'Neoma': 10, 'Grenoble EM': 1, 'Kedge': 7, 'TBS Education': 2, 'Rennes SB': 2}"
56,Chavagnes,Nantes,"13,2",ECG,"{'Edhec': 1, 'EM Lyon': 2, 'Skema': 1, 'Audencia': 3, 'Neoma': 3, 'Grenoble EM': 1, 'Rennes SB': 5, 'Montpellier BS': 1}"
56,Malherbe,Caen,"13,2",ECG,"{'ESCP': 1, 'Edhec': 2, 'Skema': 1, 'Audencia': 5, 'Neoma': 2, 'Grenoble EM': 1, 'Kedge': 2, 'TBS Education': 2, 'Rennes SB': 6, 'Burgundy SB': 1, 'EM Strasbourg': 1}"
56,Prépa Commercia - JA Formation,Paris 16e,"13,2",ECG,"{'Essec': 3, 'ESCP': 4, 'Edhec': 5, 'EM Lyon': 8, 'Skema': 2, 'Audencia': 9, 'Neoma': 5, 'Grenoble EM': 7, 'Kedge': 4, 'TBS Education': 1, 'Rennes SB': 2, 'ICN': 1}"
56,Stanislas,Cannes,"13,2",ECG,"{'ESCP': 1, 'Edhec': 2, 'EM Lyon': 3, 'Skema': 6, 'Neoma': 1, 'Grenoble EM': 11, 'Kedge': 3, 'TBS Education': 1, 'Rennes SB': 1, 'Montpellier BS': 1}"
60,Georges de la Tour,Metz,13,ECG,"{'ESCP': 1, 'Edhec': 3, 'EM Lyon': 1, 'Skema': 1, 'Neoma': 6, 'Kedge': 6, 'TBS Education': 2, 'Rennes SB': 3, 'Montpellier BS': 1, 'Burgundy SB': 2, 'ICN': 1}"
60,Henri Moissan,Meaux,13,ECG,"{'Edhec': 2, 'EM Lyon': 2, 'Skema': 3, 'Neoma': 2, 'Grenoble EM': 3, 'Kedge': 3, 'TBS Education': 1, 'Montpellier BS': 1, 'Burgundy SB': 1, 'ICN': 1}"
60,Louis Barthou,Pau,13,ECG,"{'Edhec': 1, 'EM Lyon': 1, 'Audencia': 2, 'Neoma': 3, 'Grenoble EM': 4, 'Kedge': 4, 'TBS Education': 1, 'Rennes SB': 2, 'Burgundy SB': 1, 'Excelia': 1}"
60,Paul Cézanne,Aix-en-Provence,13,ECG,"{'ESCP': 1, 'Edhec': 2, 'EM Lyon': 2, 'Skema': 3, 'Audencia': 2, 'Neoma': 4, 'Grenoble EM': 9, 'Kedge': 5, 'TBS Education': 5, 'Rennes SB': 3, 'ESC Clermont': 1}"
60,Saint-Joseph du Loquidy,Nantes,13,ECG,"{'Essec': 1, 'EM Lyon': 5, 'Skema': 3, 'Audencia': 6, 'Neoma': 10, 'Grenoble EM': 4, 'Kedge': 2, 'TBS Education': 5, 'Rennes SB': 3, 'Montpellier BS': 1, 'Excelia': 1}"
65,Henri Poincaré,Nancy,"12,9",ECG,"{'HEC': 1, 'ESCP': 1, 'Edhec': 1, 'EM Lyon': 3, 'Skema': 3, 'Audencia': 6, 'Neoma': 12, 'Grenoble EM': 6, 'Kedge': 7, 'TBS Education': 4, 'Rennes SB': 1, 'Montpellier BS': 2, 'ICN': 3}"
65,La Nativité,Aix-en-Provence,"12,9",ECG,"{'EM Lyon': 3, 'Neoma': 6, 'Grenoble EM': 6, 'Kedge': 3, 'TBS Education': 5, 'Rennes SB': 1, 'Montpellier BS': 2}"
65,Saint-Exupéry,Marseille 15e,"12,9",ECG,"{'Edhec': 1, 'EM Lyon': 2, 'Audencia': 2, 'Neoma': 1, 'Grenoble EM': 2, 'Kedge': 3, 'TBS Education': 3, 'ICN': 1}"
65,Sainte-Marie Grand Lebrun,Bordeaux,"12,9",ECG,"{'Essec': 1, 'ESCP': 1, 'Edhec': 2, 'EM Lyon': 4, 'Skema': 7, 'Audencia': 5, 'Neoma': 7, 'Grenoble EM': 8, 'Kedge': 7, 'TBS Education': 4, 'Rennes SB': 1, 'Montpellier BS': 1}"
65,Teilhard de Chardin,Saint-Maur-des-Fossés,"12,9",ECG,"{'EM Lyon': 1, 'Skema': 4, 'Audencia': 1, 'Neoma': 4, 'Grenoble EM': 1, 'Kedge': 2, 'TBS Education': 1, 'Rennes SB': 3}"
70,Alfred Kastler,Cergy,"12,8",ECG,"{'Essec': 1, 'Edhec': 2, 'EM Lyon': 1, 'Audencia': 5, 'Neoma': 7, 'Grenoble EM': 2, 'Kedge': 9, 'TBS Education': 3, 'Rennes SB': 5, 'Montpellier BS': 1, 'Burgundy SB': 1, 'ICN': 2}"
70,Chaptal,Paris 8e,"12,8",ECG,"{'Essec': 2, 'Edhec': 4, 'EM Lyon': 3, 'Skema': 1, 'Audencia': 2, 'Neoma': 4, 'Grenoble EM': 2, 'Kedge': 1, 'TBS Education': 1, 'Rennes SB': 1, 'IMT BS': 1}"
70,Marie de Champagne,Troyes,"12,8",ECG,"{'Edhec': 1, 'EM Lyon': 1, 'Neoma': 2, 'Grenoble EM': 1, 'Kedge': 4, 'TBS Education': 4, 'Burgundy SB': 2}"
70,Saint-Charles,Marseille 1er,"12,8",ECG,"{'Edhec': 1, 'Skema': 3, 'Neoma': 5, 'Grenoble EM': 3, 'Kedge': 4, 'TBS Education': 2, 'Rennes SB': 2, 'IMT BS': 1, 'Ensae': 1}"
70,Saint-Exupéry,La Rochelle,"12,8",ECG,"{'ESCP': 1, 'EM Lyon': 1, 'Skema': 1, 'Neoma': 1, 'Grenoble EM': 1, 'Kedge': 2, 'TBS Education': 4}"
70,Saliège,Balma,"12,8",ECG,"{'Essec': 1, 'Edhec': 1, 'EM Lyon': 4, 'Skema': 4, 'Audencia': 4, 'Neoma': 5, 'Grenoble EM': 8, 'Kedge': 16, 'TBS Education': 7, 'Rennes SB': 1, 'Montpellier BS': 3}"
76,Joachim du Bellay,Angers,"12,7",ECG,"{'Edhec': 2, 'EM Lyon': 2, 'Skema': 2, 'Audencia': 1, 'Neoma': 3, 'Grenoble EM': 1, 'Kedge': 4, 'TBS Education': 2, 'Rennes SB': 5, 'Montpellier BS': 1, 'Burgundy SB': 2}"
77,Carnot,Dijon,"12,6",ECG,"{'Essec': 1, 'ESCP': 2, 'Edhec': 2, 'EM Lyon': 1, 'Skema': 1, 'Audencia': 6, 'Neoma': 6, 'Grenoble EM': 11, 'Kedge': 10, 'TBS Education': 2, 'Rennes SB': 3, 'Montpellier BS': 1, 'Burgundy SB': 5, 'ICN': 1}"
77,Descartes,Tours,"12,6",ECG,"{'EM Lyon': 1, 'Skema': 2, 'Audencia': 3, 'Neoma': 10, 'Grenoble EM': 4, 'Kedge': 8, 'TBS Education': 3, 'Rennes SB': 5, 'Montpellier BS': 2}"
77,Jeanne d'Arc,Caen,"12,6",ECG,"{'Essec': 1, 'Neoma': 6, 'Grenoble EM': 2, 'Kedge': 3, 'TBS Education': 1, 'Rennes SB': 5, 'Montpellier BS': 1, 'Burgundy SB': 1}"
77,La Pérouse - Kerichen,Brest,"12,6",ECG,"{'Essec': 1, 'Edhec': 1, 'EM Lyon': 3, 'Skema': 3, 'Audencia': 3, 'Neoma': 6, 'Grenoble EM': 7, 'Kedge': 6, 'TBS Education': 10, 'Rennes SB': 6, 'Montpellier BS': 1}"
81,Albert Schweitzer,Le Raincy,"12,5",ECG,"{'Skema': 2, 'Neoma': 3, 'Grenoble EM': 1, 'Kedge': 3, 'TBS Education': 1, 'Rennes SB': 3, 'Montpellier BS': 1, 'IMT BS': 1}"
81,Aliénor d'Aquitaine,Poitiers,"12,5",ECG,"{'ESCP': 2, 'EM Lyon': 1, 'Skema': 3, 'Audencia': 6, 'Neoma': 5, 'Grenoble EM': 6, 'Kedge': 6, 'TBS Education': 5, 'Rennes SB': 7, 'Montpellier BS': 1, 'Burgundy SB': 1, 'IMT BS': 1}"
81,Edgar Quinet,Bourg-en-Bresse,"12,5",ECG,"{'Edhec': 1, 'Audencia': 2, 'Neoma': 4, 'Kedge': 1, 'Rennes SB': 1, 'Montpellier BS': 1, 'Burgundy SB': 3}"
81,Fabert,Metz,"12,5",ECG,"{'Edhec': 1, 'EM Lyon': 3, 'Skema': 2, 'Audencia': 1, 'Neoma': 6, 'Kedge': 4, 'TBS Education': 3, 'Rennes SB': 2, 'Burgundy SB': 1}"
81,Faidherbe,Lille,"12,5",ECG,"{'ESCP': 1, 'Edhec': 1, 'Skema': 4, 'Audencia': 4, 'Neoma': 4, 'Grenoble EM': 5, 'Kedge': 7, 'TBS Education': 4, 'Rennes SB': 1, 'Montpellier BS': 1, 'ICN': 2, 'EM Strasbourg': 1}"
81,Georges Clemenceau,Reims,"12,5",ECG,"{'Edhec': 4, 'EM Lyon': 2, 'Skema': 2, 'Audencia': 7, 'Neoma': 3, 'Grenoble EM': 6, 'Kedge': 6, 'TBS Education': 2, 'Rennes SB': 9, 'Montpellier BS': 3, 'Burgundy SB': 2, 'ICN': 5, 'EM Strasbourg': 1}"
81,Michel de Montaigne,Mulhouse,"12,5",ECG,"{'Skema': 1, 'Neoma': 6, 'Grenoble EM': 2, 'Rennes SB': 1, 'Montpellier BS': 1, 'Burgundy SB': 2, 'EM Strasbourg': 1}"
88,La Folie Saint-James,Neuilly-sur-Seine,"12,4",ECG,"{'Edhec': 1, 'EM Lyon': 1, 'Skema': 3, 'Audencia': 3, 'Neoma': 4, 'Grenoble EM': 1, 'Kedge': 2, 'Rennes SB': 3, 'Montpellier BS': 2, 'ICN': 4, 'Excelia': 1}"
88,Pierre Corneille,Rouen,"12,4",ECG,"{'ESCP': 1, 'EM Lyon': 2, 'Skema': 2, 'Audencia': 1, 'Neoma': 4, 'Kedge': 3, 'TBS Education': 2}"
90,Jeanne d'Albret,Saint-Germain-en-Laye,"12,3",ECG,"{'Skema': 1, 'Audencia': 2, 'Neoma': 3, 'Grenoble EM': 4, 'Rennes SB': 1, 'Burgundy SB': 1, 'ICN': 2, 'EM Strasbourg': 1}"
90,Parc de Vilgénis,Massy,"12,3",ECG,"{'HEC': 1, 'Essec': 1, 'EM Lyon': 1, 'Neoma': 1, 'Grenoble EM': 1, 'TBS Education': 1, 'Rennes SB': 2, 'Montpellier BS': 1}"
92,Alexandre Dumas,Saint-Cloud,"12,2",ECG,"{'Essec': 1, 'Edhec': 1, 'EM Lyon': 2, 'Skema': 2, 'Audencia': 3, 'Neoma': 5, 'Grenoble EM': 3, 'Kedge': 7, 'TBS Education': 4, 'Rennes SB': 4, 'Montpellier BS': 1, 'Burgundy SB': 1, 'IMT BS': 1, 'ICN': 4}"
92,Descartes,Antony,"12,2",ECG,"{'Edhec': 1, 'Skema': 2, 'Audencia': 1, 'Neoma': 1, 'Kedge': 3, 'TBS Education': 3, 'Rennes SB': 1, 'Montpellier BS': 2, 'Burgundy SB': 1, 'ICN': 1}"
92,Gay-Lussac,Limoges,"12,2",ECG,"{'Skema': 1, 'Audencia': 2, 'Neoma': 4, 'Grenoble EM': 1, 'Kedge': 2, 'TBS Education': 2, 'Rennes SB': 4, 'Excelia': 1}"
92,Hélène Boucher,Paris 20e,"12,2",ECG,"{'Audencia': 1, 'Neoma': 3, 'Grenoble EM': 3, 'Kedge': 1, 'TBS Education': 4, 'Rennes SB': 2}"
96,Charles de Gaulle,Caen,"12,1",ECG,"{'Edhec': 1, 'Audencia': 1, 'Neoma': 2, 'Kedge': 2, 'TBS Education': 3, 'Rennes SB': 3}"
96,Dominique Villars,Gap,"12,1",ECG,"{'Skema': 2, 'Audencia': 1, 'Neoma': 2, 'Grenoble EM': 1, 'Kedge': 1, 'TBS Education': 5, 'Montpellier BS': 3, 'Burgundy SB': 2}"
96,Ipécom - Prépa Victor Hugo,Paris 16e,"12,1",ECG,"{'EM Lyon': 1, 'Skema': 1, 'Audencia': 1, 'Neoma': 1, 'Grenoble EM': 1, 'Rennes SB': 1, 'Montpellier BS': 1, 'ICN': 1, 'EM Strasbourg': 1}"
96,Jean-Baptiste Corot,Savigny-sur-Orge,"12,1",ECG,"{'EM Lyon': 2, 'Skema': 1, 'Audencia': 3, 'Neoma': 6, 'Grenoble EM': 4, 'Kedge': 2, 'TBS Education': 4, 'Rennes SB': 4, 'ICN': 3}"
96,Saint-Bénigne,Dijon,"12,1",ECG,"{'Audencia': 1, 'Neoma': 4, 'Grenoble EM': 3, 'Kedge': 4, 'TBS Education': 2, 'Montpellier BS': 1, 'Burgundy SB': 3, 'ICN': 1}"
96,Théophile Gautier,Tarbes,"12,1",ECG,"{'Audencia': 3, 'Neoma': 6, 'Grenoble EM': 2, 'Kedge': 3, 'TBS Education': 1, 'Rennes SB': 2, 'Montpellier BS': 5, 'Burgundy SB': 1, 'Excelia': 1}"
102,Dumont d'Urville,Toulon,12,ECG,"{'Skema': 3, 'Audencia': 2, 'Neoma': 2, 'Grenoble EM': 3, 'Kedge': 3, 'TBS Education': 4, 'Rennes SB': 6, 'Montpellier BS': 1}"
102,ENC Bessières,Paris 17e,12,ECG,"{'Essec': 1, 'ESCP': 1, 'EM Lyon': 1, 'Skema': 1, 'Audencia': 2, 'Neoma': 1, 'Grenoble EM': 1, 'Kedge': 3, 'TBS Education': 3, 'Rennes SB': 2, 'Montpellier BS': 1, 'EM Strasbourg': 1, 'ISC': 1}"
102,Jacques Amyot,Melun,12,ECG,"{'Neoma': 3, 'Grenoble EM': 1, 'Kedge': 5, 'TBS Education': 2, 'Montpellier BS': 2}"
102,Louis Thuillier,Amiens,12,ECG,"{'Audencia': 1, 'Grenoble EM': 3, 'Kedge': 2, 'TBS Education': 3, 'Rennes SB': 1, 'Burgundy SB': 1, 'Inseec': 1}"
102,Saint-Etienne,Strasbourg,12,ECG,"{'Neoma': 6, 'Kedge': 2, 'TBS Education': 2, 'Rennes SB': 4, 'Montpellier BS': 1, 'EM Strasbourg': 1}"
107,Alphonse Daudet,Nîmes,"11,9",ECG,"{'Skema': 1, 'Neoma': 3, 'Grenoble EM': 2, 'Kedge': 6, 'TBS Education': 2, 'Montpellier BS': 1, 'EM Strasbourg': 2}"
107,Bellepierre,Saint-Denis,"11,9",ECG,"{'Edhec': 2, 'Audencia': 1, 'Grenoble EM': 1, 'Kedge': 3, 'Montpellier BS': 3, 'ICN': 2, 'Excelia': 2, 'Inseec': 1}"
107,Camille Vernet,Valence,"11,9",ECG,"{'ESCP': 1, 'EM Lyon': 1, 'Skema': 1, 'Audencia': 1, 'Neoma': 4, 'Grenoble EM': 5, 'Kedge': 2, 'TBS Education': 7, 'Rennes SB': 2, 'Montpellier BS': 3, 'Burgundy SB': 4, 'ICN': 1}"
107,Dupuy de Lôme,Lorient,"11,9",ECG,"{'Skema': 1, 'Neoma': 2, 'Grenoble EM': 3, 'Kedge': 3, 'TBS Education': 2, 'Rennes SB': 3, 'ICN': 1}"
107,François 1er,Le Havre,"11,9",ECG,"{'Skema': 1, 'Neoma': 1, 'Grenoble EM': 1, 'Kedge': 2, 'TBS Education': 1, 'Burgundy SB': 1, 'EM Normandie': 1}"
107,François Couperin,Fontainebleau,"11,9",ECG,"{'Skema': 1, 'Audencia': 2, 'Neoma': 2, 'Grenoble EM': 3, 'Kedge': 1, 'TBS Education': 1, 'Rennes SB': 6, 'Montpellier BS': 1, 'Burgundy SB': 1}"
107,Jacques Decour,Paris 9e,"11,9",ECG,"{'Edhec': 2, 'Skema': 1, 'Audencia': 2, 'Neoma': 2, 'Grenoble EM': 4, 'Kedge': 1, 'TBS Education': 2, 'Rennes SB': 1, 'Burgundy SB': 1, 'IMT BS': 1, 'ICN': 4, 'Excelia': 2, 'EM Strasbourg': 1}"
114,Henri Bergson,Angers,"11,8",ECG,"{'ESCP': 1, 'Neoma': 2, 'Grenoble EM': 3, 'Kedge': 1, 'TBS Education': 2, 'Rennes SB': 6, 'Burgundy SB': 1, 'ICN': 1}"
114,Philippine Duchesne,Corenc,"11,8",ECG,"{'EM Lyon': 1, 'Skema': 3, 'Audencia': 1, 'Neoma': 1, 'Grenoble EM': 8, 'Kedge': 5, 'TBS Education': 7, 'Rennes SB': 2, 'Montpellier BS': 3, 'Burgundy SB': 3, 'ICN': 1, 'Inseec': 1}"
114,Rodin,Paris 13e,"11,8",ECG,"{'Edhec': 1, 'Skema': 1, 'Grenoble EM': 2, 'Kedge': 1, 'TBS Education': 1, 'Rennes SB': 6, 'IMT BS': 1, 'ICN': 1}"
117,Voltaire,Orléans,"11,7",ECG,"{'Skema': 1, 'Neoma': 5, 'Grenoble EM': 2, 'Kedge': 6, 'TBS Education': 9, 'Rennes SB': 4, 'Burgundy SB': 1, 'ISC': 1}"
118,Gaston Berger,Lille,"11,6",ECG,"{'Skema': 1, 'Neoma': 3, 'Grenoble EM': 8, 'Kedge': 6, 'TBS Education': 3, 'Rennes SB': 1, 'Montpellier BS': 1, 'Excelia': 1}"
118,Notre-Dame de Sion,Marseille 6e,"11,6",ECG,"{'EM Lyon': 1, 'Grenoble EM': 3, 'Kedge': 1, 'Montpellier BS': 1, 'Burgundy SB': 1}"
118,Pothier,Orléans,"11,6",ECG,"{'Edhec': 1, 'Audencia': 1, 'Neoma': 1, 'TBS Education': 3, 'Rennes SB': 2, 'Montpellier BS': 1, 'Burgundy SB': 2, 'IMT BS': 1, 'ICN': 1, 'Ensae': 1}"
121,Gambetta - Carnot,Arras,"11,5",ECG,"{'EM Lyon': 1, 'Skema': 1, 'Grenoble EM': 2, 'Kedge': 5, 'Rennes SB': 2, 'Montpellier BS': 2, 'Burgundy SB': 1, 'EM Strasbourg': 2}"
121,Saint-Joseph,Le Havre,"11,5",ECG,"{'Neoma': 2, 'Kedge': 2, 'Rennes SB': 2, 'Montpellier BS': 1, 'Burgundy SB': 1, 'EM Normandie': 1}"
123,Bellevue,Albi,"11,4",ECG,"{'Neoma': 1, 'Grenoble EM': 5, 'Kedge': 1, 'TBS Education': 4, 'Rennes SB': 3, 'Montpellier BS': 4}"
123,Le Verrier,Saint-Lô,"11,4",ECG,"{'EM Lyon': 1, 'Audencia': 2, 'Neoma': 1, 'Grenoble EM': 1, 'Montpellier BS': 1, 'ICN': 1}"
123,Louis Pergaud,Besançon,"11,4",ECG,"{'EM Lyon': 1, 'Grenoble EM': 1, 'Kedge': 5, 'TBS Education': 4, 'Rennes SB': 1, 'Montpellier BS': 3, 'ICN': 2}"
123,Notre-Dame de Bon Secours,Perpignan,"11,4",ECG,"{'Skema': 1, 'Neoma': 1, 'Kedge': 2, 'TBS Education': 1, 'Rennes SB': 2, 'Montpellier BS': 2, 'Burgundy SB': 1}"
127,Saint-Alyre,Clermont-Ferrand,"11,3",ECG,"{'Skema': 1, 'Neoma': 1, 'Kedge': 4, 'TBS Education': 6, 'Rennes SB': 1, 'Montpellier BS': 5, 'ESC Clermont': 1}"
128,Gustave Courbet,Belfort,"11,2",ECG,"{'Neoma': 3, 'Kedge': 4, 'TBS Education': 3, 'Rennes SB': 2, 'Burgundy SB': 8, 'EM Strasbourg': 1, 'ISC': 1}"
128,Saint-Charles Sainte-Croix,Le Mans,"11,2",ECG,"{'Audencia': 2, 'Kedge': 1, 'TBS Education': 1, 'Rennes SB': 2, 'Burgundy SB': 4, 'Inseec': 1}"
130,Saint-Exupéry,Mantes-la-Jolie,"11,1",ECG,"{'Neoma': 1, 'Kedge': 4, 'TBS Education': 3, 'Rennes SB': 1, 'Montpellier BS': 1, 'IMT BS': 1, 'ICN': 2, 'Excelia': 2, 'ISC': 1}"
131,Emmanuel d'Alzon,Nîmes,11,ECG,"{'Grenoble EM': 1, 'Kedge': 2, 'Rennes SB': 3, 'Montpellier BS': 1, 'Burgundy SB': 1, 'ISC': 1}"
131,La Cadenelle,Marseille 12e,11,ECG,"{'Grenoble EM': 1, 'Kedge': 2, 'TBS Education': 1, 'Montpellier BS': 2, 'EM Strasbourg': 1, 'Inseec': 1}"
133,Jean XXIII,Montigny-lès-Metz,"10,9",ECG,"{'Neoma': 1, 'Grenoble EM': 1, 'Kedge': 1, 'TBS Education': 1, 'Burgundy SB': 4, 'ICN': 1}"
134,Baimbridge,Les Abymes,"10,8",ECG,"{'Kedge': 2, 'TBS Education': 1, 'Rennes SB': 5, 'Burgundy SB': 1, 'ICN': 4, 'EM Strasbourg': 2, 'Inseec': 1}"
134,Bellevue,Fort-de-France,"10,8",ECG,"{'Neoma': 1, 'Grenoble EM': 2, 'Kedge': 1, 'TBS Education': 2, 'Montpellier BS': 2, 'ICN': 4, 'Excelia': 1, 'Inseec': 1, 'ISC': 1}"
136,François Rabelais,Saint-Brieuc,"10,7",ECG,"{'TBS Education': 4, 'Rennes SB': 1, 'Burgundy SB': 2, 'Excelia': 2}"
136,Lycée de Sada,Sada,"10,7",ECG,"{'Grenoble EM': 2, 'Rennes SB': 1, 'Burgundy SB': 1, 'ESC Clermont': 2}"
136,Madame de Staël,Montluçon,"10,7",ECG,"{'Audencia': 1, 'Neoma': 1, 'Kedge': 1, 'TBS Education': 1, 'Burgundy SB': 2}"
139,Hector Berlioz,Vincennes,"10,6",ECG,"{'Grenoble EM': 2, 'Kedge': 1, 'TBS Education': 3, 'Rennes SB': 5, 'IMT BS': 1, 'ICN': 1, 'EM Strasbourg': 1}"
140,Gerville Réache,Basse-Terre,"10,5",ECG,"{'TBS Education': 3, 'Rennes SB': 2, 'Montpellier BS': 2, 'Burgundy SB': 2, 'ICN': 4, 'Inseec': 1}"
140,Madeleine Michelis,Amiens,"10,5",ECG,"{'Kedge': 1, 'Rennes SB': 4, 'Burgundy SB': 3, 'ICN': 2, 'Excelia': 1, 'EM Strasbourg': 1}"
140,Olympe de Gouges,Noisy-le-Sec,"10,5",ECG,"{'Kedge': 4, 'Montpellier BS': 1, 'ICN': 11, 'ISC': 3}"
143,Jean-Jacques Rousseau,Sarcelles,"10,1",ECG,"{'Rennes SB': 1, 'Burgundy SB': 3, 'IMT BS': 2, 'ICN': 2, 'ISC': 1}"
1,Notre-Dame du Grandchamp,Versailles,20,ECT,"{'HEC': 5, 'Essec': 7, 'ESCP': 6, 'Edhec': 6, 'Skema': 4, 'Neoma': 1}"
2,Michelet,Vanves,"14,9",ECT,"{'Essec': 4, 'ESCP': 3, 'Edhec': 1, 'EM Lyon': 1, 'Skema': 2, 'Audencia': 2, 'Neoma': 6, 'Grenoble EM': 4, 'TBS Education': 1, 'Rennes SB': 1, 'Montpellier BS': 1, 'ICN': 1}"
