Rang,Etablissement,Commune,Note,Filière,Texte
16,Lakanal,Sceaux,"13,7",BCPST,"{'ENS Ulm': 1, 'ENS de Lyon': 2, 'ENS Paris-Saclay': 1, 'CentraleSupélec': 2, 'AgroParisTech': 9, 'Bordeaux Sciences Agro': 1, 'Ensaia': 9, 'Institut Agro Montpellier': 5, 'Institut Agro Rennes-Angers': 7, 'Oniris': 4, 'VetAgro Sup': 1, 'ENV Alfort': 1, 'ENV Toulouse': 1}"
18,Fénelon,Paris 6e,"13,6",BCPST,"{'ENS Paris-Saclay': 1, 'ESPCI': 1, 'AgroParisTech': 2, 'Bordeaux Sciences Agro': 1, 'Ensat': 5, 'Institut Agro Montpellier': 1, 'Institut Agro Rennes-Angers': 4, 'VetAgro Sup': 1, 'ENV Alfort': 1, 'ENV Toulouse': 1}"
19,Pierre-Gilles de Gennes,Paris 13e,"13,5",BCPST,"{'AgroParisTech': 5, 'Bordeaux Sciences Agro': 2, 'Ensat': 2, 'Institut Agro Dijon': 1, 'Institut Agro Montpellier': 1, 'Institut Agro Rennes-Angers': 2, 'VetAgro Sup': 1, 'ENV Toulouse': 1}"
20,Malherbe,Caen,"13,4",BCPST,"{'AgroParisTech': 6, 'Bordeaux Sciences Agro': 2, 'Ensaia': 5, 'Institut Agro Dijon': 4, 'Institut Agro Rennes-Angers': 11, 'Oniris': 5, 'ENV Alfort': 4}"
21,Clemenceau,Nantes,"13,1",BCPST,"{'ENS Ulm': 1, 'CentraleSupélec': 1, 'AgroParisTech': 2, 'Bordeaux Sciences Agro': 7, 'Ensat': 1, 'Institut Agro Dijon': 4, 'Institut Agro Montpellier': 3, 'Institut Agro Rennes-Angers': 12, 'Oniris': 10, 'VetAgro Sup': 2, 'ENV Alfort': 1}"
21,Georges Clemenceau,Reims,"13,1",BCPST,"{'AgroParisTech': 2, 'Ensaia': 3, 'Ensat': 1, 'Institut Agro Dijon': 3, 'Institut Agro Montpellier': 1, 'Institut Agro Rennes-Angers': 2, 'VetAgro Sup': 3, 'ENV Alfort': 2, 'ENV Toulouse': 1}"
23,Faidherbe,Lille,13,BCPST,"{'ENS de Lyon': 1, 'Phelma': 1, 'AgroParisTech': 2, 'Ensaia': 4, 'Ensat': 3, 'Institut Agro Dijon': 2, 'Institut Agro Montpellier': 1, 'Institut Agro Rennes-Angers': 7, 'Oniris': 4, 'VetAgro Sup': 2, 'ENV Alfort': 1, 'ENV Toulouse': 3}"
23,Masséna,Nice,13,BCPST,"{'Mines Paris': 1, 'AgroParisTech': 2, 'Bordeaux Sciences Agro': 1, 'Ensaia': 1, 'Ensat': 2, 'Institut Agro Dijon': 2, 'Institut Agro Montpellier': 3, 'Institut Agro Rennes-Angers': 1, 'ENV Toulouse': 2}"
25,Chateaubriand,Rennes,"12,9",BCPST,"{'ENS de Lyon': 2, 'ENS Paris-Saclay': 1, 'AgroParisTech': 8, 'Bordeaux Sciences Agro': 1, 'Ensaia': 2, 'Ensat': 5, 'Institut Agro Montpellier': 1, 'Institut Agro Rennes-Angers': 16, 'Oniris': 11, 'VetAgro Sup': 3}"
25,Ozenne,Toulouse,"12,9",BCPST,"{'ENS de Lyon': 1, 'AgroParisTech': 1, 'Bordeaux Sciences Agro': 2, 'Ensaia': 1, 'Ensat': 3, 'Institut Agro Montpellier': 2, 'Institut Agro Rennes-Angers': 2, 'Oniris': 1, 'VetAgro Sup': 1, 'ENV Toulouse': 6}"
